Date,Actual_Return,HS_VaR,HS_ES,Normal_VaR,Normal_ES,StudentT_VaR,StudentT_ES,GARCH_VaR,GARCH_ES
2017-03-07,0.0029300107552984555,-0.025448543354148204,-0.027300103842481244,-0.022330308219143606,-0.025794820636494145,-0.0278269186692336,-0.04101980930828496,-0.017573536843908735,-0.020424887264510447
2017-03-08,0.0010990598030075943,-0.025448543354148204,-0.027300103842481244,-0.022296054123060172,-0.02576008999737926,-0.027776779944960594,-0.040987327618870875,-0.01507694602338569,-0.017561493512338263
2017-03-09,-0.0019005447048883895,-0.025448543354148204,-0.027300103842481244,-0.022144188638026283,-0.025596545811828592,-0.0281236860937358,-0.04248717513909366,-0.013705460929252733,-0.01598375937590567
2017-03-10,0.003241191233871352,-0.020055613397523903,-0.02361572977741315,-0.021141240751518544,-0.02447768220721559,-0.026568463465955885,-0.03926468199553077,-0.014072694995552403,-0.016425519749149582
2017-03-13,0.0037735250327186735,-0.020055613397523903,-0.02361572977741315,-0.02102930782216943,-0.024333310996983534,-0.02679036502141716,-0.04046584058630701,-0.01341976509132264,-0.015667090391064162
2017-03-14,-0.001986974135887095,-0.020055613397523903,-0.02361572977741315,-0.02087141359351444,-0.024165154227582846,-0.02703657707115049,-0.04172831653973679,-0.013011095334348098,-0.015204450400734868
2017-03-15,0.0045350531814779575,-0.020055613397523903,-0.02361572977741315,-0.02093048781157017,-0.024224674863143694,-0.02718434866335723,-0.04198627742456396,-0.013539569567283229,-0.015798678543533638
2017-03-16,0.003771285850602574,-0.020055613397523903,-0.02361572977741315,-0.020722032831176407,-0.023967256147296768,-0.026844184127495122,-0.04180567598600368,-0.013019402563206203,-0.015185993720314934
2017-03-17,0.0020847479183064366,-0.020055613397523903,-0.02361572977741315,-0.020680356924479084,-0.023925238520849334,-0.026764216088998947,-0.0417100360401177,-0.01246772780443071,-0.01456079970525095
2017-03-20,0.007225163424630592,-0.020055613397523903,-0.02361572977741315,-0.02065077325477199,-0.023894808831905836,-0.026791385131694975,-0.04191737773284159,-0.011794424434792762,-0.013790198134801444
2017-03-21,-0.017140903730798154,-0.020055613397523903,-0.02361572977741315,-0.0206166613473232,-0.023864602623871183,-0.026400690106187837,-0.0407517671038819,-0.013700680625569152,-0.015979654314001536
2017-03-22,0.009104023000890528,-0.020055613397523903,-0.02361572977741315,-0.02109274711027668,-0.024376252144540866,-0.02719605903088105,-0.042348005141437356,-0.03161805262666181,-0.03645854909068766
2017-03-23,-0.004617288630411863,-0.020055613397523903,-0.02361572977741315,-0.021098456682177188,-0.02438392527557878,-0.027145808597270137,-0.042140115329824424,-0.023387315107334224,-0.027027147920864487
2017-03-24,-0.0016514165290255974,-0.020055613397523903,-0.02361572977741315,-0.021084315690486924,-0.024368531195352813,-0.027189059502134003,-0.04232429077748802,-0.019184245262628564,-0.022212623578869838
2017-03-27,0.00264882918146372,-0.020055613397523903,-0.02361572977741315,-0.02095871632189746,-0.024231919283796515,-0.027560175019376392,-0.04394450319660652,-0.015740470943638615,-0.018266421256702726
2017-03-28,0.005966670362543643,-0.020055613397523903,-0.02361572977741315,-0.020835223551514237,-0.024073437148516737,-0.02771250003745767,-0.04522885395700243,-0.013728807332893047,-0.01594643313415921
2017-03-29,0.005092881152754285,-0.020055613397523903,-0.02361572977741315,-0.020835051347485773,-0.02407306158089052,-0.0277280952544296,-0.0452870672727813,-0.014469931696483362,-0.016797964796807903
2017-03-30,0.003789620218916301,-0.020055613397523903,-0.02361572977741315,-0.020735202414231095,-0.02396999003252302,-0.027896089328975093,-0.04628690347656441,-0.014032320558033936,-0.016307763409246258
2017-03-31,0.0012163379241064832,-0.020048395259971156,-0.02361572977741315,-0.020632191713698806,-0.02385467519892722,-0.02794193589761996,-0.04683028221779548,-0.013182922877603542,-0.015339341178873755
2017-04-03,0.0014425543150712072,-0.020048395259971156,-0.02361572977741315,-0.020647183455471972,-0.023864715625615096,-0.028503832254123684,-0.04886826961434251,-0.012484586126742811,-0.014536415239057224
2017-04-04,-0.008380001675363995,-0.020048395259971156,-0.02361572977741315,-0.020580441222124952,-0.023794196855223423,-0.02902705155683695,-0.05115304742083155,-0.012126828293476097,-0.014132966170329933
